date,race_id_16,競馬場,R,レース名,新馬戦,集計対象,俺_◎馬番,俺_◎馬名,俺_◎着順,俺_◎1着,俺_◎連対,俺_◎複勝,美咲_◎馬番,美咲_◎馬名,美咲_◎着順,美咲_◎1着,美咲_◎連対,美咲_◎複勝
20260809,2026080901010601,札幌,1,未勝利*,0,1,7,カナデ,9,0,0,0,12,サルトヴェローチェ,2,0,1,1
20260809,2026080901010602,札幌,2,未勝利,0,1,9,マーゴットオネイロ,2,0,1,1,1,メイショウマドンナ,3,0,0,1
20260809,2026080901010603,札幌,3,１勝ｸﾗｽ,0,1,10,メイショウテンク,2,0,1,1,3,マテンロウゼロ,6,0,0,0
20260809,2026080901010604,札幌,4,未勝利,0,1,4,マイネルトレマーズ,7,0,0,0,10,バンダムソレール,1,1,1,1
20260809,2026080901010605,札幌,5,新馬・牝,1,1,13,フォルトゥナロッサ,2,0,1,1,1,ガザニア,12,0,0,0
20260809,2026080901010606,札幌,6,未勝利,0,1,11,ドンテスタマスター,1,1,1,1,11,ドンテスタマスター,1,1,1,1
20260809,2026080901010607,札幌,7,未勝利,0,1,3,デルマフジ,2,0,1,1,3,デルマフジ,2,0,1,1
20260809,2026080901010608,札幌,8,１勝ｸﾗｽ,0,1,8,テイクオンミー,3,0,0,1,5,メイショウコシュウ,2,0,1,1
20260809,2026080901010609,札幌,9,１勝ｸﾗｽ・牝,0,1,11,ウィングブルー,2,0,1,1,15,ノアールビーナス,7,0,0,0
20260809,2026080901010610,札幌,10,富良野Ｈ･2勝,0,1,13,タガノエルー,2,0,1,1,13,タガノエルー,2,0,1,1
20260809,2026080901010611,札幌,11,ＵＨＢ賞,0,1,3,ブラックチャリス,6,0,0,0,10,ナムラクララ,1,1,1,1
20260809,2026080901010612,札幌,12,石狩特別･1勝,0,1,8,ヴァロアーク,7,0,0,0,7,ディーリライズ,6,0,0,0
20260809,2026080904020601,新潟,1,未勝利*,0,1,11,シアルナーレ,2,0,1,1,8,ラガリーガ,1,1,1,1
20260809,2026080904020602,新潟,2,新馬,1,1,1,クリガーレ,4,0,0,0,1,クリガーレ,4,0,0,0
20260809,2026080904020603,新潟,3,未勝利・牝,0,1,1,ローズオブジャパン,2,0,1,1,12,ハングローズ,4,0,0,0
20260809,2026080904020604,新潟,4,未勝利,0,1,10,モンスターラッシュ,1,1,1,1,12,クリムゾンリーフ,2,0,1,1
20260809,2026080904020605,新潟,5,１勝ｸﾗｽ,0,1,12,シュヴァルツシルト,6,0,0,0,9,アンバサダネージュ,7,0,0,0
20260809,2026080904020606,新潟,6,佐渡Ｓ･3勝,0,1,1,ライヒスアドラー,1,1,1,1,1,ライヒスアドラー,1,1,1,1
20260809,2026080904020607,新潟,7,レパードG3,0,1,6,ドンエレクトス,4,0,0,0,12,メルカントゥール,3,0,0,1
20260809,2026080904020608,新潟,8,驀進特別･2勝,0,1,8,カレンデュラ,3,0,0,1,8,カレンデュラ,3,0,0,1
20260809,2026080904020609,新潟,9,２勝ｸﾗｽ,0,1,14,ピコテンダー,6,0,0,0,14,ピコテンダー,6,0,0,0
20260809,2026080904020610,新潟,10,１勝ｸﾗｽ,0,1,7,ウップヘリーア,2,0,1,1,7,ウップヘリーア,2,0,1,1
20260809,2026080904020611,新潟,11,未勝利・牝,0,1,4,フジサン,9,0,0,0,3,バンオンタイム,3,0,0,1
20260809,2026080904020612,新潟,12,未勝利,0,1,18,シルバーアックス,18,0,0,0,6,セリエンクーニゲン,2,0,1,1
20260809,2026080907020601,中京,1,未勝利,0,1,14,フィンガーレイクス,1,1,1,1,14,フィンガーレイクス,1,1,1,1
20260809,2026080907020602,中京,2,新馬・牝,1,1,4,ビップルーチェ,9,0,0,0,1,ガリアルダ,3,0,0,1
20260809,2026080907020603,中京,3,新馬,1,1,3,ドリームオブコージ,8,0,0,0,1,コパノマハロ,5,0,0,0
20260809,2026080907020604,中京,4,未勝利,0,1,13,エイシンリブウェル,1,1,1,1,13,エイシンリブウェル,1,1,1,1
20260809,2026080907020605,中京,5,１勝ｸﾗｽ,0,1,14,ペプチドレオン,3,0,0,1,6,カレンパンピナップ,15,0,0,0
20260809,2026080907020606,中京,6,浜名湖特･2勝,0,1,1,マイバレンタイン,3,0,0,1,1,マイバレンタイン,3,0,0,1
20260809,2026080907020607,中京,7,ＣＢＣ賞ＨG3,0,1,17,タマモイカロス,6,0,0,0,8,フィオライア,13,0,0,0
20260809,2026080907020608,中京,8,揖斐川特･2勝,0,1,11,リベッチオ,1,1,1,1,7,トモジャザーン,9,0,0,0
20260809,2026080907020609,中京,9,障害未勝利,0,1,6,ナヴァラトゥナ,3,0,0,1,5,メイショウソウセキ,1,1,1,1
20260809,2026080907020610,中京,10,１勝ｸﾗｽ,0,1,2,ラヴネヴァーダイズ,3,0,0,1,14,リーグナイト,10,0,0,0
20260809,2026080907020611,中京,11,１勝ｸﾗｽ,0,1,9,カラクニダケ,17,0,0,0,16,ヤマニンフェイエル,10,0,0,0
20260809,2026080907020612,中京,12,未勝利,0,1,13,ビッグヒーロー,2,0,1,1,16,ビシェノ,13,0,0,0
