レースID(新),レース名,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード
202608090101060101,未勝利*,２歳,ダ,1700,1,1,, ベイビーブラザー,牡,2,吉田隼人, 55 ,2,110.87,9,52.9,8, 1.52,20.7,,,,,21.5,未勝利,1,11,A03
202608090101060102,未勝利*,２歳,ダ,1700,2,2,, マーズエクレール,牡,2,岩田康誠, 55 ,1,109.35,1,56.7,6,-0.05,16.9,,,,,3.7,未勝利,1,11,A03
202608090101060103,未勝利*,２歳,ダ,1700,3,3,, シンゼンノト,牡,2,遠藤汰月,52▲,2,110.28,6,71.8,2, 0.93, 1.8,,,,,14.8,未勝利,1,11,A03
202608090101060104,未勝利*,２歳,ダ,1700,4,4,, エコロヴァルド,牡,2,小林美駒,52▲,1,111.48,12,27.1,10, 2.13,46.5,,,,,15.7,未勝利,1,11,A03
202608090101060105,未勝利*,２歳,ダ,1700,5,5,, シャムスクッカ,牡,2,小沢大仁, 55 ,1,110.29,7,65.9,3, 0.94, 7.7,,,,,29.0,未勝利,1,11,A03
202608090101060106,未勝利*,２歳,ダ,1700,5,6,, イチゴワタアメ,牝,2,横山琉人, 55 ,2,110.88,10,27.4,9, 1.53,46.2,,,,,57.6,未勝利,1,11,A03
202608090101060107,未勝利*,２歳,ダ,1700,6,7,, カナデ,牝,2,河原田菜,51★,1,111.47,11,25.0,11, 2.12,48.6,,,,,40.7,未勝利,1,11,A03
202608090101060108,未勝利*,２歳,ダ,1700,6,8,, ヴァイタリズム,牝,2,斎藤新, 55 ,1,109.76,3,60.0,5, 0.41,13.6,,,,,10.4,未勝利,1,11,A03
202608090101060109,未勝利*,２歳,ダ,1700,7,9,, ハイビスカス,牝,2,舟山瑠泉,54☆,2,110.08,4,55.8,7, 0.73,17.8,,,,,12.8,未勝利,1,11,A03
202608090101060110,未勝利*,２歳,ダ,1700,7,10,, テムファイア,牡,2,古川吉洋, 55 ,1,110.14,5,61.3,4, 0.79,12.3,,,,,12.7,未勝利,1,11,A03
202608090101060111,未勝利*,２歳,ダ,1700,8,11,, モーモーワン,牡,2,原田和真, 55 ,1,110.73,8,21.8,12, 1.38,51.8,,,,,152.4,未勝利,1,11,A03
202608090101060112,未勝利*,２歳,ダ,1700,8,12,, サルトヴェローチェ,牡,2,北村友一, 55 ,1,109.40,2,73.6,1, 0.05,-1.8,,,,,2.1,未勝利,1,11,A03
202608090101060201,未勝利,３歳,ダ,1000,1,1,, メイショウマドンナ,牝,3,吉田隼人, 55 ,7,60.10,2,64.8,4, 0.19,16.7,,,,,10.0,未勝利,2,12,A03
202608090101060202,未勝利,３歳,ダ,1000,2,2,, フジコンフィデンス,牝,3,池添謙一, 55 ,3,60.18,5,45.8,7, 0.27,35.7,,,,,15.2,未勝利,2,12,A03
202608090101060203,未勝利,３歳,ダ,1000,3,3,, ケイベエ,牡,3,原田和真, 57 ,12,60.90,11,39.3,8, 0.99,42.2,,,,,82.0,未勝利,2,12,A03
202608090101060204,未勝利,３歳,ダ,1000,4,4,, メイヨシュア,牝,3,小沢大仁, 55 ,2,60.61,8,26.6,10, 0.70,54.9,,,,,89.1,未勝利,2,12,A03
202608090101060205,未勝利,３歳,ダ,1000,5,5,, スイーヴル,牝,3,斎藤新, 55 ,11,59.91,1,81.5,1,-0.19,-2.4,,,,,2.1,未勝利,2,12,A03
202608090101060206,未勝利,３歳,ダ,1000,5,6,, カッサンドラ,牝,3,横山琉人, 55 ,9,60.13,4,79.1,2, 0.22, 2.4,,,,,6.0,未勝利,2,12,A03
202608090101060207,未勝利,３歳,ダ,1000,6,7,, ラブデウザ,牝,3,河原田菜,51★,12,61.07,12,25.9,11, 1.16,55.6,,,,,26.3,未勝利,2,12,A03
202608090101060208,未勝利,３歳,ダ,1000,6,8,, ルクスドリーム,牡,3,北村友一, 57 ,6,60.46,6,49.7,6, 0.55,31.8,,,,,11.1,未勝利,2,12,A03
202608090101060209,未勝利,３歳,ダ,1000,7,9,, マーゴットオネイロ,牡,3,小林美駒,54▲,7,60.11,3,74.5,3, 0.20, 7.0,,,,,3.9,未勝利,2,12,A03
202608090101060210,未勝利,３歳,ダ,1000,7,10,, ハクサンレイホウ,牡,3,黛弘人, 57 ,2,60.78,10,20.3,12, 0.87,61.2,,,,,136.2,未勝利,2,12,A03
202608090101060211,未勝利,３歳,ダ,1000,8,11,, ロングフルスペック,牝,3,古川吉洋, 55 ,5,60.59,7,59.8,5, 0.68,21.7,,,,,34.8,未勝利,2,12,A03
202608090101060212,未勝利,３歳,ダ,1000,8,12,, テリオスルミ,牝,3,遠藤汰月,52▲,6,60.77,9,32.0,9, 0.86,49.5,,,,,64.3,未勝利,2,12,A03
202608090101060301,１勝ｸﾗｽ,３歳以上,芝,2000,1,1,, エオアリイ,牡,4,舟山瑠泉,57☆,12,122.76,9,48.7,7, 2.07,23.3,,,,,15.1,1勝,3,13,003
202608090101060302,１勝ｸﾗｽ,３歳以上,芝,2000,2,2,(地), グランツローゼ,牝,4,河原田菜,52★,18,122.69,8,27.2,9, 2.00,44.8,,,,,38.6,1勝,3,13,003
202608090101060303,１勝ｸﾗｽ,３歳以上,芝,2000,3,3,, マテンロウゼロ,牡,3,横山典弘, 55 ,8,121.37,2,51.5,5, 0.68,20.5,,,,,2.5,1勝,3,13,003
202608090101060304,１勝ｸﾗｽ,３歳以上,芝,2000,4,4,, レジェンドシップ,セ,6,浜中俊, 58 ,30,121.51,3,67.5,2, 0.82, 4.5,,,,,4.6,1勝,3,13,003
202608090101060305,１勝ｸﾗｽ,３歳以上,芝,2000,5,5,, デルシエロ,牡,5,横山琉人, 58 ,31,120.69,1,72.0,1,-0.68,-4.5,,,,,6.8,1勝,3,13,003
202608090101060306,１勝ｸﾗｽ,３歳以上,芝,2000,6,6,, サウンドサンライズ,牝,4,斎藤新, 56 ,9,121.95,4,58.8,3, 1.26,13.2,,,,,11.1,1勝,3,13,003
202608090101060307,１勝ｸﾗｽ,３歳以上,芝,2000,7,7,, ストラニエーロ,牝,4,小林美駒,53▲,11,122.83,10,25.5,10, 2.14,46.5,,,,,12.6,1勝,3,13,003
202608090101060308,１勝ｸﾗｽ,３歳以上,芝,2000,7,8,, ピティロディア,牡,4,池添謙一, 58 ,18,122.41,6,44.8,8, 1.72,27.2,,,,,22.9,1勝,3,13,003
202608090101060309,１勝ｸﾗｽ,３歳以上,芝,2000,8,9,, エイカイコバチ,牝,3,小沢大仁, 53 ,7,121.96,5,53.7,4, 1.27,18.3,,,,,22.2,1勝,3,13,003
202608090101060310,１勝ｸﾗｽ,３歳以上,芝,2000,8,10,, メイショウテンク,牡,3,吉田隼人, 55 ,8,122.52,7,49.7,6, 1.83,22.3,,,,,6.3,1勝,3,13,003
202608090101060401,未勝利,３歳,ダ,1700,1,1,, ロジクリスエス,セ,3,黛弘人, 57 ,6,107.79,6,46.6,9, 0.86,34.5,,,,,26.0,未勝利,4,12,003
202608090101060402,未勝利,３歳,ダ,1700,2,2,, コサージュ,牝,3,古川奈穂,53◇,7,108.82,10,53.4,7, 1.89,27.7,,,,,19.2,未勝利,4,12,003
202608090101060403,未勝利,３歳,ダ,1700,3,3,, オルビスケリー,牝,3,斎藤新, 55 ,2,110.28,14,14.4,14, 3.35,66.7,,,,,22.2,未勝利,4,12,003
202608090101060404,未勝利,３歳,ダ,1700,3,4,, マイネルトレマーズ,牡,3,長浜鴻緒,56☆,5,107.90,7,56.2,6, 0.97,24.9,,,,,7.1,未勝利,4,12,003
202608090101060405,未勝利,３歳,ダ,1700,4,5,, サクセスブルー,牡,3,舟山瑠泉,56☆,7,108.11,8,48.2,8, 1.18,32.9,,,,,17.3,未勝利,4,12,003
202608090101060406,未勝利,３歳,ダ,1700,4,6,, メイショウセンドウ,牡,3,横山和生, 57 ,9,107.13,3,73.6,3, 0.20, 7.5,,,,,6.2,未勝利,4,12,003
202608090101060407,未勝利,３歳,ダ,1700,5,7,, ブルーメンフェスト,牝,3,古川吉洋, 55 ,2,110.00,13,23.6,12, 3.07,57.5,,,,,88.8,未勝利,4,12,003
202608090101060408,未勝利,３歳,ダ,1700,5,8,, メイショウノヴァス,牡,3,小沢大仁, 57 ,8,107.32,5,69.2,5, 0.39,11.9,,,,,6.7,未勝利,4,12,003
