レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード
202608080101050101,未勝利・牝,10:00,３歳,ダ,1700,1,1,, ルージュエピック,牝,3,河原田菜,51★,5,108.25,7,41.2,10, 0.53,33.7,,,,,11.1,未勝利,1,12,023
202608080101050102,未勝利・牝,10:00,３歳,ダ,1700,2,2,, セラサイト,牝,3,小林美駒,52▲,11,108.54,8,69.4,2, 0.82, 5.5,,,,,10.7,未勝利,1,12,023
202608080101050103,未勝利・牝,10:00,３歳,ダ,1700,3,3,, ジェイストリーク,牝,3,岩田望来, 55 ,3,108.17,5,55.0,7, 0.45,19.9,,,,,9.7,未勝利,1,12,023
202608080101050104,未勝利・牝,10:00,３歳,ダ,1700,3,4,, アルデバローズ,牝,3,横山琉人, 55 ,7,109.30,12,27.6,13, 1.58,47.3,,,,,187.3,未勝利,1,12,023
202608080101050105,未勝利・牝,10:00,３歳,ダ,1700,4,5,, サマースプラッシュ,牝,3,佐々木大, 55 ,7,109.27,11,36.7,12, 1.55,38.2,,,,,118.7,未勝利,1,12,023
202608080101050106,未勝利・牝,10:00,３歳,ダ,1700,4,6,, ルージュボニート,牝,3,横山武史, 55 ,3,108.16,4,67.0,3, 0.44, 7.9,,,,,2.8,未勝利,1,12,023
202608080101050107,未勝利・牝,10:00,３歳,ダ,1700,5,7,, ハスカップジャム,牝,3,長浜鴻緒,54☆,4,110.45,14,12.2,14, 2.73,62.7,,,,,364.0,未勝利,1,12,023
202608080101050108,未勝利・牝,10:00,３歳,ダ,1700,5,8,, サンエンジェルス,牝,3,浜中俊, 55 ,6,109.02,10,43.7,8, 1.30,31.2,,,,,12.2,未勝利,1,12,023
202608080101050109,未勝利・牝,10:00,３歳,ダ,1700,6,9,, フィーユレアル,牝,3,斎藤新, 55 ,9,107.72,1,62.7,6,-0.22,12.2,,,,,21.0,未勝利,1,12,023
202608080101050110,未勝利・牝,10:00,３歳,ダ,1700,6,10,, マーゴットクリュグ,牝,3,松本大輝, 55 ,8,107.95,3,64.0,4, 0.23,10.9,,,,,10.6,未勝利,1,12,023
202608080101050111,未勝利・牝,10:00,３歳,ダ,1700,7,11,, ルパピヨンブラン,牝,3,川又賢治, 55 ,10,108.19,6,63.4,5, 0.47,11.5,,,,,46.3,未勝利,1,12,023
202608080101050112,未勝利・牝,10:00,３歳,ダ,1700,7,12,, ワイルドカグラ,牝,3,小沢大仁, 55 ,4,109.69,13,38.9,11, 1.97,36.0,,,,,57.4,未勝利,1,12,023
202608080101050113,未勝利・牝,10:00,３歳,ダ,1700,8,13,, シャドウルーラー,牝,3,松山弘平, 55 ,4,108.92,9,42.6,9, 1.20,32.3,,,,,7.6,未勝利,1,12,023
202608080101050114,未勝利・牝,10:00,３歳,ダ,1700,8,14,, ジーティービキニ,牝,3,舟山瑠泉,54☆,10,107.94,2,74.9,1, 0.22,-5.5,,,,,4.7,未勝利,1,12,023
