クラス名,レースID(新),日付(yyyy.mm.dd),場所,馬名,性別,年齢,騎手,斤量,頭数,着順,芝・ダ,距離,コース区分,馬場状態,走破タイム,着差,1角,2角,3角,4角,上り3F,上り3F順,PCI,好走,PCI3,RPCI,性別限定,競走記号,賞金,付加賞金,血統登録番号,単勝配当,複勝配当,馬連,上3F地点差,脚質,決め手,Ave-3F,馬体重,馬体重増減,単勝オッズ,生産者,産地,種牡馬,母馬,母父馬,出走頭数,枠番,馬番,多頭出し,所属,調教師
1勝,202608090702061111,"2026. 8. 9",中京,パリコレジェンヌ,牝,4,田口貫太, 56 ,18,１,芝,1200,A,良,1078,-0.0,,,9,7,33.2,3,54.2,*,53.10,50.0,,A03,820,,2022104501,6640,1330,16090,0.7,中団,差し,34.60,462,-2,66.4,前谷牧場,新ひだか町,ミスターメロディ,ビオレイメル,ワイルドラッシュ,17,6,11,,(栗),鈴木孝志
1勝,202608090702060505,"2026. 8. 9",中京,カクウチ,牡,3,小崎綾也, 55 ,16,９,ダ,1400,,良,1261,1.5,,,11,12,38.1,7,44.5,,43.00,42.4,,003,0,,2023101405,(17.6),,,1.3,後方,後方,36.00,480,+18,17.6,碧雲牧場,日高町,アドマイヤマーズ,トウカイファイン,フレンチデピュティ,16,3,5,,(栗),小崎憲
1勝,202608090402060514,"2026. 8. 9",新潟,ソリッドベーシス,セ,4,杉原誠人, 58 ,15,13,ダ,1200,,良,1143,2.3,,,11,14,38.2,13,44.5,,45.13,44.6,,A03,0,,2022105697,(262.5),,,1.1,後方,後方,36.10,484,-2,262.5,追分ファーム,安平町,ブリックスアンドモルタル,サイモンミラベル,ダイワメジャー,15,8,14,,(美),大和田成
1勝,202608090101060309,"2026. 8. 9",札幌,エイカイコバチ,牝,3,小沢大仁, 53 ,10,３,芝,2000,A,良,2016,0.2,8,6,6,4,35.3,3,54.8,*,55.93,52.5,,003,210,,2023107144,(13.3),270,,0.7,先行,先行,36.99,452,0,13.3,ノーザンファーム,安平町,エピファネイア,ノーブルスコア,ディープインパクト,10,8,9,,(栗),藤原英昭
未勝利,202608080702051217,"2026. 8. 8",中京,グッデイ,牝,3,秋山稔樹, 55 ,18,７,芝,1400,A,良,1205,0.7,,,11,9,34.8,8,48.5,*,49.33,46.0,牝,023,0,,2023106988,(68.5),,,0.9,中団,中団,34.28,432,-10,68.5,ノーザンファーム,安平町,フィエールマン,グランワルツ,ロードカナロア,18,8,17,,(栗),河嶋宏樹
未勝利,202608080702051216,"2026. 8. 8",中京,ハッピーリオン,牝,3,太宰啓介, 55 ,18,15,芝,1400,A,良,1212,1.4,,,1,1,36.4,18,42.3,,49.33,46.0,牝,023,0,,2023101899,(31.7),,,0.0,逃げ,逃げ,33.60,472,+2,31.7,吉田ファーム,浦河町,リオンリオン,ラファイエ,"Elusive Quality",18,8,16,,(栗),武英智
未勝利,202608080702051006,"2026. 8. 8",中京,フェイトブレイカー,セ,3,秋山稔樹, 57 ,16,７,ダ,1200,,良,1139,1.0,,,3,3,37.9,12,45.0,*,46.77,44.9,,A03,0,,2023101803,(40.9),,,0.5,先行,先行,36.00,468,+4,40.9,富塚ファーム,浦河町,マジェスティックウォリアー,ナツ,アドマイヤオーラ,16,3,6,,(栗),坂口智康
新馬,202608080702050206,"2026. 8. 8",中京,ブレイズカルナバル,牡,2,国分恭介, 55 ,7,３,芝,1400,A,良,1225,0.5,,,1,1,35.0,3,51.8,*,53.83,53.3,,A03,200,,2024107253,(6.4),,,0.0,逃げ,逃げ,35.63,458,,6.4,高橋フアーム,新ひだか町,フィレンツェファイア,サンバパレード,アドマイヤマックス,7,6,6,,(栗),飯田祐史
未勝利,202608080402051207,"2026. 8. 8",新潟,フォーエバーラブ,牡,3,柴田大知, 57 ,16,８,芝,2000,A,良,1599,1.3,6,5,5,6,36.6,7,47.5,,49.87,49.1,,003,0,,2023102941,(42.5),,,0.5,中団,中団,35.70,448,-6,42.5,千代田牧場,新ひだか町,ミスターメロディ,プレシャスメイト,ステイゴールド,16,4,7,,(美),金成貴史
未勝利,202608020702041218,"2026. 8. 2",中京,モンシーク,牡,3,川田将雅, 57 ,18,２,芝,1400,A,良,1195,0.0,,,3,3,34.4,4,48.3,*,50.03,46.8,,A03,230,,2023105000,(3.2),130,890,0.3,先行,先行,33.83,446,-4,3.2,三嶋牧場,浦河町,スクリーンヒーロー,エピックガール,ディープインパクト,18,8,18,,(栗),橋口慎介
