レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号
202608150101070101,未勝利,10:00,３歳,ダ,1700,1,1,, ジャストグレース,牡,3,古川吉洋, 57 ,6,108.81,5,50.7,8, 1.45,26.1,,,,,60.1,未勝利,1,12,003,,2023102517
202608150101070102,未勝利,10:00,３歳,ダ,1700,2,2,, リベンジャー,牡,3,石川倭, 57 ,2,109.68,12,25.1,13, 2.32,51.7,,,,,42.2,未勝利,1,12,003,,2023104286
202608150101070103,未勝利,10:00,３歳,ダ,1700,3,3,, クルビデンス,牡,3,佐々木大, 57 ,6,107.86,2,73.6,3, 0.50, 3.2,,,,,2.1,未勝利,1,12,003,,2023104001
202608150101070104,未勝利,10:00,３歳,ダ,1700,3,4,, マーゴットデウス,セ,3,小沢大仁, 57 ,6,107.98,3,52.2,6, 0.62,24.6,,,,,34.6,未勝利,1,12,003,,2023103289
202608150101070105,未勝利,10:00,３歳,ダ,1700,4,5,, メイショウシンガン,牡,3,横山琉人, 57 ,4,109.62,11,41.6,9, 2.26,35.2,,,,,20.6,未勝利,1,12,003,,2023104988
202608150101070106,未勝利,10:00,３歳,ダ,1700,4,6,, フレンチブラッサム,牝,3,横山典弘, 55 ,9,107.36,1,76.8,1,-0.50,-1.0,,,,,6.4,未勝利,1,12,003,,2023105062
202608150101070107,未勝利,10:00,３歳,ダ,1700,5,7,, ショウナンタヅナ,牡,3,池添謙一, 57 ,12,108.36,4,75.8,2, 1.00, 1.0,,,,,21.3,未勝利,1,12,003,,2023100531
202608150101070108,未勝利,10:00,３歳,ダ,1700,5,8,, ニットウエース,牡,3,浜中俊, 57 ,2,109.39,10,38.5,10, 2.03,38.3,,,,,16.8,未勝利,1,12,003,,2023104977
202608150101070109,未勝利,10:00,３歳,ダ,1700,6,9,, ロードクローザー,牡,3,横山和生, 57 ,4,109.11,8,25.4,12, 1.75,51.4,,,,,6.9,未勝利,1,12,003,,2023105060
202608150101070110,未勝利,10:00,３歳,ダ,1700,6,10,, アンタレス,牡,3,和田陽希,54▲,5,110.33,14,32.7,11, 2.97,44.1,,,,,12.2,未勝利,1,12,003,,2023100017
202608150101070111,未勝利,10:00,３歳,ダ,1700,7,11,, ゴーントゥファー,セ,3,長浜鴻緒,56☆,4,110.01,13,18.7,14, 2.65,58.1,,,,,110.6,未勝利,1,12,003,,2023106531
202608150101070112,未勝利,10:00,３歳,ダ,1700,7,12,, サンオブザサン,牡,3,斎藤新, 57 ,7,109.03,7,66.0,5, 1.67,10.8,,,,,10.6,未勝利,1,12,003,,2023101979
202608150101070113,未勝利,10:00,３歳,ダ,1700,8,13,, フェンリル,牡,3,菊沢一樹, 57 ,4,108.94,6,51.2,7, 1.58,25.6,,,,,20.6,未勝利,1,12,003,,2023106726
202608150101070114,未勝利,10:00,３歳,ダ,1700,8,14,, ワンダーゾルダート,牡,3,松本大輝, 57 ,9,109.24,9,71.2,4, 1.88, 5.6,,,,,25.3,未勝利,1,12,003,,2023101714
202608150101070201,未勝利*,10:30,２歳,芝,1800,1,1,, マイネルラビリンス,牡,2,菊沢一樹, 55 ,1,111.18,5,53.3,4, 1.20,24.4,,,,,44.8,未勝利,2,11,A03,,2024105029
202608150101070202,未勝利*,10:30,２歳,芝,1800,2,2,, オンザボー,牡,2,佐々木大, 55 ,1,109.98,1,70.0,3,-0.32, 7.7,,,,,12.1,未勝利,2,11,A03,,2024103472
202608150101070203,未勝利*,10:30,２歳,芝,1800,3,3,, イッペイ,牡,2,浜中俊, 55 ,2,110.85,4,77.7,1, 0.87,-5.9,,,,,4.8,未勝利,2,11,A03,,2024104442
202608150101070204,未勝利*,10:30,２歳,芝,1800,4,4,, マイネルサリーレ,牡,2,斎藤新, 55 ,1,110.64,3,36.3,8, 0.66,41.4,,,,,35.3,未勝利,2,11,A03,,2024103571
202608150101070205,未勝利*,10:30,２歳,芝,1800,5,5,, ローザベッラ,牝,2,石川倭, 55 ,1,112.03,10,42.9,7, 2.05,34.8,,,,,73.7,未勝利,2,11,A03,,2024101670
202608150101070206,未勝利*,10:30,２歳,芝,1800,6,6,, カリスマン,牡,2,吉田隼人, 55 ,1,111.69,8,30.2,9, 1.71,47.5,,,,,127.6,未勝利,2,11,A03,,2024106804
202608150101070207,未勝利*,10:30,２歳,芝,1800,7,7,, ラヴァンドローリエ,牝,2,古川吉洋, 55 ,1,111.50,6,48.6,6, 1.52,29.1,,,,,37.8,未勝利,2,11,A03,,2024103131
202608150101070208,未勝利*,10:30,２歳,芝,1800,7,8,, ルージュロマーナ,牝,2,舟山瑠泉,54☆,1,111.65,7,49.4,5, 1.67,28.3,,,,,12.0,未勝利,2,11,A03,,2024102132
202608150101070209,未勝利*,10:30,２歳,芝,1800,8,9,, レゾンフォルテ,牡,2,横山和生, 55 ,1,110.30,2,71.8,2, 0.32, 5.9,,,,,1.3,未勝利,2,11,A03,,2024105188
202608150101070210,未勝利*,10:30,２歳,芝,1800,8,10,, タクミオジュウ,牡,2,長浜鴻緒,54☆,1,111.76,9,19.2,10, 1.78,58.5,,,,,63.0,未勝利,2,11,A03,,2024100130
202608150101070301,未勝利,11:00,３歳,ダ,1000,1,1,, ナブッコ,牡,3,横山武史, 57 ,11,59.89,1,73.0,1,-0.15,-1.5,,,,,9.7,未勝利,3,12,003,,2023104377
202608150101070302,未勝利,11:00,３歳,ダ,1000,2,2,, フェアリーキャット,牝,3,古川奈穂,53◇,4,60.09,3,51.7,7, 0.20,21.3,,,,,8.7,未勝利,3,12,003,,2023104847
202608150101070303,未勝利,11:00,３歳,ダ,1000,3,3,, ソルトアイリス,牝,3,横山和生, 55 ,4,60.42,10,33.6,9, 0.53,39.4,,,,,18.8,未勝利,3,12,003,,2023104169
202608150101070304,未勝利,11:00,３歳,ダ,1000,4,4,, トルークマクト,牝,3,石川倭, 55 ,5,60.31,8,35.3,8, 0.42,37.7,,,,,20.7,未勝利,3,12,003,,2023101088
202608150101070305,未勝利,11:00,３歳,ダ,1000,5,5,, シルフ,牝,3,松本大輝, 55 ,3,60.28,7,27.6,10, 0.39,45.4,,,,,6.8,未勝利,3,12,003,,2023107214
