race_id_16,馬番,馬名,美咲印,美咲順位,美咲_勝率,美咲_連対率
2026081601010801,10,プルーフリーディン,◎,1,58.555705522805134,62.165301983596066
2026081601010801,1,テンレッドサン,○,2,56.45475291218267,59.92183098684545
2026081601010801,5,ルージュリヴィエラ,▲,3,55.17736095746286,59.755277689095166
2026081601010801,13,ストリートクイーン,△,4,56.799940997276885,59.3785182064926
2026081601010801,9,アリディプラチノ,×,5,51.684419013905284,56.87625735650711
2026081601010801,3,ウォータースパウト,注,6,50.70329816895052,54.57776944239583
2026081601010801,2,ルナティックブルー,☆,7,43.82680200847958,42.608237010470226
2026081601010801,14,マスカルポーネ,,8,29.429164959155635,35.294244549090045
2026081601010801,11,ハピネスドリーム,,9,38.02963899567064,34.50017860175099
2026081601010801,8,セントピュアベース,,10,31.598850221986314,29.553032051726102
2026081601010801,12,フローズンクイーン,,11,28.95578379175014,28.79631885055599
2026081601010801,4,アインプロージット,,12,29.38093514523803,28.271108888965635
2026081601010801,7,フィエスタ,,13,26.511547691581434,27.906226784217115
2026081601010801,6,イセッセイ,,14,26.556425901174514,27.364286562792365
2026081601010802,3,タイフーンナイン,◎,1,53.011102945011466,58.746208477184936
2026081601010802,6,キチロクタワー,○,2,55.07895925254045,57.23502085544353
2026081601010802,5,リアルジャパン,▲,3,45.17725496758222,46.87547621981419
2026081601010802,2,ゴートゥービッツン,△,4,39.001837176854636,37.64077140603661
2026081601010802,4,テイクケア,×,5,35.36610066636332,35.71406864566986
2026081601010802,1,リアルクウカイ,注,6,32.026667444372656,32.99702857879056
2026081601010802,8,モミスケ,☆,7,31.26667705156901,32.32904236089551
2026081601010802,7,スクレイプバイ,,8,24.67593946174569,28.090211705981343
2026081601010803,13,コウギョク,◎,1,51.53924100638629,55.11306533238272
2026081601010803,6,ブランドブラン,○,2,47.59819406807439,53.97910434780771
2026081601010803,5,ハヤブササキチャン,▲,3,48.14674131898835,53.59896464777002
2026081601010803,10,クリスレジーナ,△,4,50.88526960365585,51.75317507492997
2026081601010803,2,ライフイズカラフル,×,5,44.144699055367745,47.34983554765643
2026081601010803,8,ブルースカイブルー,注,6,34.51839342055143,39.543823251201516
2026081601010803,9,クラシカルカイザー,☆,7,30.904868228394072,38.5833172384575
2026081601010803,11,テンレディーゴー,,8,36.06513777163137,38.4961957289215
2026081601010803,12,カーフキック,,9,37.48712481622149,37.51148397863212
2026081601010803,14,ナムラヒナギク,,10,34.28605911164146,37.396156588019366
2026081601010803,7,レダアトミカ,,11,32.450253951504735,37.35194207712305
2026081601010803,1,ゴールドジェスター,,12,28.260717959948252,34.46436717907954
2026081601010803,4,トクシージェネラル,,13,17.88826734674897,21.121421125494212
2026081601010803,3,マイバラード,,14,10.481490965238951,17.31294190707598
2026081601010804,4,メイショウタイザン,◎,1,53.06173839633732,59.04693326339539
2026081601010804,8,アルジェンタム,○,2,50.85891859491176,54.35363793279161
2026081601010804,12,ペガサスウィンド,▲,3,46.216404425003006,48.79159310275138
2026081601010804,1,アロハ,△,4,48.43856912577118,48.688812028886744
2026081601010804,10,フォーティンブラス,×,5,45.91887431926218,44.34872997498237
2026081601010804,6,ディープマウンテン,注,6,38.88562515673776,40.634006517271835
2026081601010804,14,パーシヴァル,☆,7,37.73438430151301,40.56283988372984
2026081601010804,13,ブライトエンジェル,,8,41.71644151776239,39.83791637058961
2026081601010804,9,メカニックバレエ,,9,41.75919166396336,37.29474284750693
2026081601010804,11,ホウオウロレンシア,,10,35.511531005124006,36.620892154574214
2026081601010804,2,トランスマリーン,,11,37.12801018895151,36.11503466817207
2026081601010804,5,テリオスリコ,,12,31.655314799916635,36.058169526344614
2026081601010804,7,エースオブゴールド,,13,32.81440787208112,33.723125713932106
2026081601010804,3,ワンダージェム,,14,28.45859415315309,30.743272358723583
2026081601010805,9,ハヤブサカツオー,◎,1,42.39119079003835,46.39346289935255
2026081601010805,1,ミライショウグン,○,2,40.94023536080293,45.96280703915305
2026081601010805,2,マサノブルスカイ,▲,3,40.76356931145343,45.957411698777
2026081601010805,12,シティオブドリーム,△,4,41.413250761868596,44.10084672287369
2026081601010805,11,レジームチェンジ,×,5,41.4093783816011,43.89559827399738
2026081601010805,5,リアンディール,注,6,37.09087081292959,42.83953095374306
2026081601010805,8,レッドマスキュラー,☆,7,38.58294858784587,42.53499042030457
2026081601010805,3,アイアムツヨスギル,,8,37.88659393263678,42.34739469754495
2026081601010805,4,グリームウッド,,9,37.94320147632959,42.23640371577177
2026081601010805,6,ネージュエトワール,,10,36.362607455403634,42.02382677113764
2026081601010805,10,レッドディーヴァ,,11,38.86736988607194,41.63059128136157
2026081601010805,7,シャイニーヒーロー,,12,37.175880914887486,41.30148269210938
2026081601010806,3,イングラム,◎,1,54.86946384996118,58.12075713683479
2026081601010806,10,ヨドノゴールド,○,2,45.872518374879014,50.12437203353125
2026081601010806,4,ラテラルパーム,▲,3,41.14366879399032,46.09128243741067
2026081601010806,8,ビタミンドロップ,△,4,45.665817380127635,46.086851474926824
2026081601010806,7,ナンナンプー,×,5,40.7208693220715,42.57457545927727
2026081601010806,11,エスカレイト,注,6,34.9619504458117,39.02751805596223
2026081601010806,5,タイセイアビリティ,☆,7,27.63010886047954,34.980582138762365
2026081601010806,9,パドゼフィール,,8,31.393472671805196,33.63392512446034
2026081601010806,1,ジュジュドール,,9,33.1396625035121,33.55650770618945
2026081601010806,12,メイショウホダワラ,,10,25.71123400780579,30.1368210946591
2026081601010806,6,スパークルジョイ,,11,22.81863543640711,28.050371781085133
2026081601010806,2,マカニ,,12,23.142696100054046,27.98519865629266
2026081601010807,16,ミナヅキ,◎,1,53.32930516100656,58.48337762867973
2026081601010807,6,ロッサコメータ,○,2,52.8730373082476,58.27583350191637
2026081601010807,2,クールフィデル,▲,3,53.93861400366301,58.24984912491063
2026081601010807,7,マコトアディントン,△,4,52.19794499333945,57.323892730802264
2026081601010807,12,ヒメヒオウギ,×,5,49.41914335216108,54.6337540668675
2026081601010807,13,ヤクジョ,注,6,50.227746771959616,53.467340881896355
