レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010101,未勝利*,10:00,２歳,ダ,1700,1,1,, レイテスツドリーム,牡,2,和田陽希,52▲,1,110.40,9,43.7,6, 3.39,40.1,,,,,69.7,未勝利,1,11,A03,,2024104493,3,(栗),平田修,栗東,静内フアーム,新ひだか町,ゴールドドリーム,レイテストバード,サマーバード
202608220102010102,未勝利*,10:00,２歳,ダ,1700,2,2,, アンバーバレット,牡,2,長浜鴻緒,54☆,1,108.26,3,83.8,1, 1.25,-4.4,,,,,8.2,未勝利,1,11,A03,,2024100448,3,(美),矢嶋大樹,美浦,下河辺牧場,日高町,ミスチヴィアスアレックス,スペシャルピース,スペシャルウィーク
202608220102010103,未勝利*,10:00,２歳,ダ,1700,3,3,,*サーギュスターヴ,牡,2,丹内祐次, 55 ,1,110.22,7,62.9,4, 3.21,20.9,,,,,18.6,未勝利,1,11,A03,,2024106823,3,(美),杉浦宏昭,美浦,エスティファーム,日高町,"New Bay",アランザ,"Privately Held"
202608220102010104,未勝利*,10:00,２歳,ダ,1700,4,4,(外),$ファラオクィーン,牝,2,レーン, 55 ,1,107.01,1,79.4,2,-0.24, 4.4,,,,,3.4,未勝利,1,11,A03,,2024108282,3,(栗),牧浦充徳,栗東,"Winchester Farm",米,"American Pharoah",Sassifleet,"Afleet Alex"
202608220102010105,未勝利*,10:00,２歳,ダ,1700,5,5,, アークレオン,牡,2,小沢大仁, 55 ,1,111.58,11,19.3,12, 4.57,64.5,,,,,55.7,未勝利,1,11,A03,,2024103714,3,(栗),高柳大輔,栗東,ホース・マネジメント・ボス,新冠町,チュウワウィザード,グローリアスペルレ,フリオーソ
202608220102010106,未勝利*,10:00,２歳,ダ,1700,5,6,, マーズエクレール,牡,2,鮫島克駿, 55 ,2,109.09,4,39.5,9, 2.08,44.3,,,,,5.2,未勝利,1,11,A03,,2024106587,3,(栗),佐藤悠太,栗東,ノーザンファーム,安平町,アドマイヤマーズ,ベルエポック,モーリス
202608220102010107,未勝利*,10:00,２歳,ダ,1700,6,7,, トゥザファイナル,牡,2,ルメール, 55 ,1,107.25,2,78.3,3, 0.24, 5.5,,,,,2.4,未勝利,1,11,A03,,2024106404,3,(美),小島茂之,美浦,ノーザンファーム,安平町,ナダル,スパークオンアイス,シンボリクリスエス
202608220102010108,未勝利*,10:00,２歳,ダ,1700,6,8,, マルカローゼ,牝,2,ヘルナン, 55 ,1,110.27,8,43.5,7, 3.26,40.3,,,,,53.6,未勝利,1,11,A03,,2024101393,3,(栗),浜田多実,栗東,二風谷ファーム,平取町,マインドユアビスケッツ,マルカエイペックス,エピファネイア
202608220102010109,未勝利*,10:00,２歳,ダ,1700,7,9,, シンゼンノト,牡,2,遠藤汰月,52▲,3,110.77,10,38.1,10, 3.76,45.7,,,,,28.1,未勝利,1,11,A03,,2024102290,3,(栗),荒川義之,栗東,三嶋牧場,浦河町,ヴァンゴッホ,ミラクルアイドル,オレハマッテルゼ
202608220102010110,未勝利*,10:00,２歳,ダ,1700,7,10,, レゾルートハート,牡,2,岩田望来, 55 ,1,109.98,5,39.9,8, 2.97,43.9,,,,,22.9,未勝利,1,11,A03,,2024106981,3,(栗),畑端省吾,栗東,社台コーポレーション白老ファーム,白老町,マインドユアビスケッツ,エヌワイパフューム,ジャスタウェイ
